Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR19964874,2022-07-03 23:54:16,2022-07-03 23:47:47,17926016,3621055232,17926016,202,1591,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19964/SRR19964874/SRR19964874.lite.1,SRX16007174,GTN-1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP384708,PRJNA855293,,855293,SRS13692326,SAMN29487918,simple,4072,Capsicum annuum,CMV-GTN-infected_1,,,,,,,no,,,,,SEOUL NATIONAL UNIVERSITY,SRA1448161,,public,4EF29906165224E573AA05F00084C016,27C0B430D583636F4106A9CF7FE6C8B0
SRR19964873,2022-07-03 23:54:16,2022-07-03 23:46:23,16598968,3352991536,16598968,202,1442,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19964/SRR19964873/SRR19964873.lite.1,SRX16007175,GTN-2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP384708,PRJNA855293,,855293,SRS13692327,SAMN29487919,simple,4072,Capsicum annuum,CMV-GTN-infected_2,,,,,,,no,,,,,SEOUL NATIONAL UNIVERSITY,SRA1448161,,public,E672C3863BA067245F11D8E2BE7A267F,35593CF04A3977BAA05A74EC9D72E912
SRR19964872,2022-07-03 23:53:44,2022-07-03 23:44:19,14169900,2862319800,14169900,202,1220,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR019/19964/SRR19964872/SRR19964872.lite.1,SRX16007176,GTN-3,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP384708,PRJNA855293,,855293,SRS13692328,SAMN29487920,simple,4072,Capsicum annuum,CMV-GTN-infected_3,,,,,,,no,,,,,SEOUL NATIONAL UNIVERSITY,SRA1448161,,public,6B4836C6B6D66ED9B509C07A83E2A2C7,E9894F499EA9FD7BC5C288F7A63DC361
