Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR19180789,2022-06-01 00:08:51,2022-05-12 18:34:31,22538805,6761641500,22538805,300,2003,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19180/SRR19180789/SRR19180789.lite.1,SRX15246007,323F3C1,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP374991,PRJNA837070,,837070,SRS12978915,SAMN28188731,simple,4071,Capsicum,323F3C1,,,,,,,no,,,,,HENAN AGRICULTURAL UNIVERSITY,SRA1419541,,public,FC3C17CEDDD3A4EC0A6EDB3DEA34E09C,6A701402172585E1845957D023583A92
SRR19180788,2022-06-01 00:08:51,2022-05-12 18:31:51,23148980,6944694000,23148980,300,2065,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19180/SRR19180788/SRR19180788.lite.1,SRX15246008,323F3C2,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP374991,PRJNA837070,,837070,SRS12978917,SAMN28188732,simple,4071,Capsicum,323F3C2,,,,,,,no,,,,,HENAN AGRICULTURAL UNIVERSITY,SRA1419541,,public,31CD545F5C47AFD554D5363AF8FEFEDF,84E64F0F114738F2A7C809BB45B46CEF
SRR19180785,2022-06-01 00:08:51,2022-05-12 18:33:47,23515687,7054706100,23515687,300,2105,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19180/SRR19180785/SRR19180785.lite.1,SRX15246011,323F3C3,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP374991,PRJNA837070,,837070,SRS12978919,SAMN28188733,simple,4071,Capsicum,323F3C3,,,,,,,no,,,,,HENAN AGRICULTURAL UNIVERSITY,SRA1419541,,public,FB1FDA5C55817F27F151B4A5737B0A53,5B3E3175F2FB1B2D4C32596467007A27
SRR19180784,2022-06-01 00:08:51,2022-05-12 18:33:45,23035090,6910527000,23035090,300,2086,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19180/SRR19180784/SRR19180784.lite.1,SRX15246012,323F3S1,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP374991,PRJNA837070,,837070,SRS12978920,SAMN28188734,simple,4071,Capsicum,323F3S1,,,,,,,no,,,,,HENAN AGRICULTURAL UNIVERSITY,SRA1419541,,public,D2E3815F46EC1CC4EDA032C345FD9879,F75EF51570C398AC80E79D13DC725D47
SRR19180783,2022-06-01 00:08:51,2022-05-12 18:31:16,23611362,7083408600,23611362,300,2113,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19180/SRR19180783/SRR19180783.lite.1,SRX15246013,323F3S2,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP374991,PRJNA837070,,837070,SRS12978921,SAMN28188735,simple,4071,Capsicum,323F3S2,,,,,,,no,,,,,HENAN AGRICULTURAL UNIVERSITY,SRA1419541,,public,BD91A13CD060B1640C04AF282B3A8C10,67FC940F56B560DC0FC4EF7C22977382
SRR19180782,2022-06-01 00:08:51,2022-05-12 18:35:06,21545275,6463582500,21545275,300,2049,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19180/SRR19180782/SRR19180782.lite.1,SRX15246014,323F3S3,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP374991,PRJNA837070,,837070,SRS12978922,SAMN28188736,simple,4071,Capsicum,323F3S3,,,,,,,no,,,,,HENAN AGRICULTURAL UNIVERSITY,SRA1419541,,public,7B47595DA52E6F72F01EE29112E8FAC6,7D9CC0769A63851D296F939D9F5DEB49
SRR19180781,2022-06-01 00:08:51,2022-05-12 18:30:03,21040113,6312033900,21040113,300,1892,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19180/SRR19180781/SRR19180781.lite.1,SRX15246015,P300C1,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP374991,PRJNA837070,,837070,SRS12978923,SAMN28188737,simple,4071,Capsicum,P300C1,,,,,,,no,,,,,HENAN AGRICULTURAL UNIVERSITY,SRA1419541,,public,3EC573AB13348BB7EAD2012EE22F4C1C,1FCE8A63D80C3237FC29D6AEF8BA59BF
SRR19180780,2022-06-01 00:08:51,2022-05-12 18:32:02,24570708,7371212400,24570708,300,2210,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19180/SRR19180780/SRR19180780.lite.1,SRX15246016,P300C2,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP374991,PRJNA837070,,837070,SRS12978927,SAMN28188738,simple,4071,Capsicum,P300C2,,,,,,,no,,,,,HENAN AGRICULTURAL UNIVERSITY,SRA1419541,,public,68D821AFCA2ED3725DAA09E357633450,89945C5DCE3F0AD9455E3A9D2A53FC37
SRR19180779,2022-06-01 00:08:52,2022-05-12 18:31:04,22119464,6635839200,22119464,300,1969,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19180/SRR19180779/SRR19180779.lite.1,SRX15246017,P300C3,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP374991,PRJNA837070,,837070,SRS12978959,SAMN28188739,simple,4071,Capsicum,P300C3,,,,,,,no,,,,,HENAN AGRICULTURAL UNIVERSITY,SRA1419541,,public,F02592822A9C4F174C94CC74C962F159,5A5F6BBCED118474B70A8135B0B7D09B
SRR19180778,2022-06-01 00:08:52,2022-05-12 18:34:25,22899059,6869717700,22899059,300,2031,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19180/SRR19180778/SRR19180778.lite.1,SRX15246018,P300S1,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP374991,PRJNA837070,,837070,SRS12978925,SAMN28188740,simple,4071,Capsicum,P300S1,,,,,,,no,,,,,HENAN AGRICULTURAL UNIVERSITY,SRA1419541,,public,651A96261F3234644EF7EC77E0F5A31A,2AEEFC1599577023DC037AB3BF4A3946
